grid_points, number_of_observations, analysis_value
[11, 3],15.0,5321.9959791955935
[11, 4],17.0,5376.039536049673
[11, 5],20.0,5410.362401017303
[11, 6],22.0,5435.874619060167
[11, 7],27.0,5465.408537055295
[11, 8],29.0,5478.126845541616
[11, 9],33.0,5491.9132166106865
[11, 10],34.0,5499.364107393435
[11, 11],37.0,5492.648601994058
[11, 12],41.0,5491.361406189128
[11, 13],44.0,5482.010732547757
[11, 14],44.0,5481.792081323941
[11, 15],42.0,5481.005685737763
[11, 16],44.0,5488.569926407171
[11, 17],37.0,5481.2719172689185
[11, 18],38.0,5505.5452538899
[11, 19],35.0,5530.426603581291
[11, 20],30.0,5553.660632071758
[11, 21],26.0,5593.2496883223575
[12, 0],13.0,5227.1061166866
[12, 1],13.0,5254.217839224699
[12, 2],18.0,5296.213356577267
[12, 3],16.0,5343.782307749059
[12, 4],19.0,5386.6886361988345
[12, 5],21.0,5424.918523825727
[12, 6],28.0,5458.855473112095
[12, 7],28.0,5487.526302622424
[12, 8],31.0,5500.56930179598
[12, 9],34.0,5517.943495574361
[12, 10],38.0,5522.600412444017
[12, 11],38.0,5528.34525281272
[12, 12],41.0,5516.5828892893705
[12, 13],41.0,5511.758251561149
[12, 14],45.0,5512.393514730707
[12, 15],45.0,5510.258826783199
[12, 16],43.0,5517.468509259553
[12, 17],40.0,5525.3178170597475
[12, 18],38.0,5539.584282883785
[12, 19],33.0,5551.41719928971
[12, 20],31.0,5578.570488518413
[12, 21],24.0,5607.940940892677
[13, 0],13.0,5234.124455047375
[13, 1],13.0,5264.2752061611955
[13, 2],17.0,5318.010961355514
[13, 3],17.0,5353.9354095489125
[13, 4],22.0,5402.381599560924
[13, 5],26.0,5438.3688239179955
[13, 6],28.0,5473.558422459777
[13, 7],29.0,5504.063089303507
[13, 8],29.0,5531.873250981347
[13, 9],36.0,5543.292610256785
[13, 10],36.0,5554.667410668658
[13, 11],40.0,5555.44031435488
[13, 12],43.0,5559.900436331926
[13, 13],45.0,5549.107937303845
[13, 14],47.0,5542.208831214799
[13, 15],46.0,5550.93526272345
[13, 16],44.0,5554.507096884528
[13, 17],42.0,5564.797443961816
[13, 18],37.0,5567.258677535876
[13, 19],34.0,5597.620868676766
[13, 20],32.0,5621.392564392963
[13, 21],26.0,5644.434399786667
[14, 0],11.0,5215.381156270378
[14, 1],13.0,5275.860634471037
[14, 2],17.0,5316.720878895234
[14, 3],16.0,5363.095001457015
[14, 4],23.0,5415.0316847280865
[14, 5],24.0,5453.959287511148
[14, 6],27.0,5497.347432001074
[14, 7],32.0,5530.041359413888
[14, 8],35.0,5552.87544641665
[14, 9],38.0,5573.359714398781
[14, 10],42.0,5577.323973541118
[14, 11],41.0,5588.2239405455275
[14, 12],42.0,5588.110774339665
[14, 13],45.0,5588.485082353221
[14, 14],46.0,5592.019998559917
[14, 15],45.0,5592.230615299127
[14, 16],45.0,5592.141662232016
[14, 17],42.0,5600.699351353844
[14, 18],38.0,5617.938185347941
[14, 19],34.0,5629.428329782377
[14, 20],33.0,5654.685485861077
[14, 21],26.0,5690.081196181061
[15, 0],15.0,5251.7313340772525
[15, 1],16.0,5291.926306745416
[15, 2],17.0,5335.02927790839
[15, 3],20.0,5381.715563076039
[15, 4],22.0,5424.714488341857
[15, 5],26.0,5485.034550185241
[15, 6],29.0,5518.42942317467
[15, 7],33.0,5548.512913994002
[15, 8],37.0,5573.249600102997
[15, 9],38.0,5590.69005220205
[15, 10],42.0,5611.217917621424
[15, 11],42.0,5621.324917738822
[15, 12],46.0,5627.112374464037
[15, 13],46.0,5626.490308794842
[15, 14],45.0,5629.66150320591
[15, 15],45.0,5637.518801501453
[15, 16],42.0,5648.777953442118
[15, 17],39.0,5656.9462905488435
[15, 18],37.0,5662.691512049234
[15, 19],33.0,5675.3588352798015
[15, 20],31.0,5693.242302370122
[15, 21],28.0,5717.06469572805
[16, 0],16.0,5261.9057009551525
[16, 1],18.0,5307.188767890819
[16, 2],20.0,5349.2228330333965
[16, 3],24.0,5402.271558960852
[16, 4],27.0,5454.339065296808
[16, 5],28.0,5494.715069296548
[16, 6],30.0,5540.358531671205
[16, 7],35.0,5565.902721683862
[16, 8],36.0,5597.961795723888
[16, 9],41.0,5622.992928620626
[16, 10],46.0,5638.038691568267
[16, 11],44.0,5655.1759338519605
[16, 12],45.0,5665.022924922414
[16, 13],48.0,5662.441901152547
[16, 14],49.0,5670.636241784086
[16, 15],45.0,5677.2387947538155
[16, 16],43.0,5688.843575898031
[16, 17],36.0,5700.732198880769
[16, 18],36.0,5717.149345532878
[16, 19],33.0,5732.807420581008
[16, 20],26.0,5745.007562582628
[16, 21],25.0,5764.000293426528
[17, 0],17.0,5280.355512784565
[17, 1],20.0,5327.2095946695335
[17, 2],21.0,5369.7280906077685
[17, 3],24.0,5430.609407806634
[17, 4],30.0,5479.411274670363
[17, 5],31.0,5519.873452380674
[17, 6],35.0,5557.153341191799
[17, 7],37.0,5588.55692199306
[17, 8],40.0,5615.945428900958
[17, 9],42.0,5641.5998019371655
[17, 10],44.0,5661.458429362454
[17, 11],49.0,5681.573592447254
[17, 12],46.0,5699.776338651349
[17, 13],47.0,5706.916507999645
[17, 14],50.0,5709.203701633391
[17, 15],49.0,5717.142775586978
[17, 16],41.0,5731.512052049616
[17, 17],38.0,5740.9529276959365
[17, 18],34.0,5756.290272110536
[17, 19],29.0,5772.482188636563
[17, 20],29.0,5791.097545702456
[17, 21],23.0,5798.21756661455
[18, 0],18.0,5304.714352929806
[18, 1],22.0,5353.953945229538
[18, 2],25.0,5400.471484619004
[18, 3],27.0,5455.047507936995
[18, 4],28.0,5499.438449618452
[18, 5],32.0,5542.313081440005
[18, 6],34.0,5577.894515678579
[18, 7],34.0,5606.2546585806085
[18, 8],40.0,5634.282034025297
[18, 9],44.0,5663.641119663591
[18, 10],48.0,5681.505284098499
[18, 11],51.0,5704.322826738206
[18, 12],48.0,5720.2547871645365
[18, 13],47.0,5734.943624457315
[18, 14],50.0,5739.445010875095
[18, 15],45.0,5755.781114048004
[18, 16],42.0,5773.521237693094
[18, 17],36.0,5787.690485245536
[18, 18],33.0,5810.291043109754
[18, 19],29.0,5825.018169727595
[18, 20],27.0,5839.335890477396
[18, 21],22.0,5849.310187201929
[19, 0],19.0,5324.322781390083
[19, 1],23.0,5374.313768627977
[19, 2],25.0,5418.486113234667
[19, 3],27.0,5478.352972817405
[19, 4],30.0,5520.991700314891
[19, 5],30.0,5559.777696196517
[19, 6],33.0,5597.324501233052
[19, 7],38.0,5626.098391052903
[19, 8],39.0,5653.433798112796
[19, 9],39.0,5677.455636144634
[19, 10],48.0,5705.590455153733
[19, 11],47.0,5723.818800517585
[19, 12],45.0,5740.519471650114
[19, 13],44.0,5762.74562181798
[19, 14],44.0,5772.663657159905
[19, 15],45.0,5785.294802550999
[19, 16],42.0,5805.442386398471
[19, 17],37.0,5823.135233289971
[19, 18],35.0,5843.770009507092
[19, 19],29.0,5858.844503202457
[19, 20],27.0,5875.151661204425
[19, 21],23.0,5884.372225393854
[20, 0],20.0,5345.368700952011
[20, 1],22.0,5392.326860597601
[20, 2],24.0,5455.099439961232
[20, 3],27.0,5498.0509333245955
[20, 4],33.0,5537.837627628154
[20, 5],30.0,5579.8411890544485
[20, 6],30.0,5612.405212096917
[20, 7],36.0,5643.749617675753
[20, 8],39.0,5672.607198940088
[20, 9],42.0,5694.190631302467
[20, 10],44.0,5714.941956639301
[20, 11],45.0,5738.77374585163
[20, 12],44.0,5764.831279731681
[20, 13],41.0,5783.385247759488
[20, 14],41.0,5794.595350080536
[20, 15],42.0,5816.1109809425325
[20, 16],44.0,5830.05429970881
[20, 17],41.0,5846.804265945118
[20, 18],38.0,5867.441815278684
[20, 19],31.0,5880.765083348486
[20, 20],28.0,5906.012502022775
[20, 21],26.0,5919.744674919428
[21, 0],19.0,5367.832651246712
[21, 1],21.0,5431.684170490953
[21, 2],25.0,5475.6457411357715
[21, 3],27.0,5517.353255349528
[21, 4],29.0,5556.88206510728
[21, 5],31.0,5592.420166027774
[21, 6],31.0,5627.819044850317
[21, 7],34.0,5656.902832636165
[21, 8],35.0,5686.407164725533
[21, 9],41.0,5711.924162084834
[21, 10],40.0,5735.004467419277
[21, 11],41.0,5754.062148242989
[21, 12],43.0,5779.004649309821
[21, 13],43.0,5795.4996881432535
[21, 14],42.0,5817.087072583636
[21, 15],42.0,5826.061553233546
[21, 16],40.0,5844.197386041998
[21, 17],37.0,5859.005339053143
[21, 18],34.0,5877.367103811028
[21, 19],29.0,5898.0470121670305
[21, 20],29.0,5919.156258290744
[21, 21],25.0,5919.424413058801
[22, 0],18.0,5402.088453589546
[22, 1],21.0,5451.0034032964395
[22, 2],23.0,5495.4375835638
[22, 3],26.0,5537.860109283747
[22, 4],27.0,5575.052013223665
[22, 5],28.0,5610.978440449521
[22, 6],29.0,5643.470543347026
[22, 7],31.0,5676.025551304983
[22, 8],32.0,5699.0861179616895
[22, 9],37.0,5723.920279975175
[22, 10],39.0,5744.984048628667
[22, 11],41.0,5765.527241490192
[22, 12],42.0,5784.669405123714
[22, 13],43.0,5808.905005091828
[22, 14],41.0,5830.263764922692
[22, 15],38.0,5843.34376115789
[22, 16],39.0,5856.201846365046
[22, 17],33.0,5877.920492708849
[22, 18],31.0,5897.445881069338
