grid_point, analysis_value, analysis_increment
grid_point, analysis_value, analysis_increment
grid_point, analysis_value, analysis_increment
[5, 17],5471.67503775326,-38.63771482508764
[5, 18],5527.558657953574,-12.971850806068687
[5, 19],5570.727001458752,6.1316506128914625
[5, 20],5600.573825187039,19.528992692945394
[5, 21],5618.403911040435,27.642207048505952
[6, 0],5196.49127699724,-38.00711285752095
[6, 1],5218.67983543481,-25.680200730626893
[6, 2],5230.633708549538,-26.84344911759581
[6, 3],5262.190646169424,-19.068795664077697
[6, 4],5304.223810899412,-11.074379150036293
[6, 5],5344.631802688918,-2.807743246177779
[6, 6],5373.280406863825,1.9596249213782357
[6, 7],5389.249691060931,-0.7658074136243158
[6, 8],5389.72048533196,-13.561512813118497
[6, 9],5396.247943753226,-14.257951443627462
[6, 10],5400.618072362115,-13.846037241868544
[6, 11],5398.324770708361,-19.439378452853816
[6, 12],5405.355628652293,-15.982633005093703
[6, 13],5411.144021664654,-14.574456757451117
[6, 14],5418.029830983665,-14.542031827257233
[6, 15],5431.856598669242,-13.401662055128327
[6, 16],5428.316418017417,-38.69134901823236
[6, 17],5454.258887521414,-41.133313537234244
[6, 18],5482.788474816186,-40.410374902447074
[6, 19],5574.857345444447,29.25548467225235
[6, 20],5590.547133649035,29.32693938204102
[6, 21],5597.926242960285,27.15916047215069
[7, 0],5197.324613633879,-29.801028565773777
[7, 1],5209.50284298417,-29.724491869968915
[7, 2],5230.678469170959,-24.826523419610567
[7, 3],5264.080576745612,-18.80507058619787
[7, 4],5308.122404231807,-11.329139373940052
[7, 5],5352.65982629586,-0.7149257378960101
[7, 6],5379.02217850021,-1.331886075256989
[7, 7],5397.861672808483,-4.075787576282892
[7, 8],5406.924490976407,-9.17417559423211
[7, 9],5414.503748188245,-9.035204309418987
[7, 10],5419.415005787599,-8.199449446105064
[7, 11],5422.765272055835,-7.259572321525411
[7, 12],5426.595848125386,-4.5135900311106525
[7, 13],5428.390645092743,-3.6080521967123786
[7, 14],5427.365720440689,-7.52100104550027
[7, 15],5433.114066453469,-10.026022773429759
[7, 16],5427.1395056394895,-33.60802212853923
[7, 17],5446.045066894916,-40.62057882690806
[7, 18],5495.356826631424,-17.842448571922432
[7, 19],5566.021646522198,31.509354168400932
[7, 20],5580.860046642606,31.58625451719945
[7, 21],5587.8747875493345,29.251417510934516
[8, 0],5196.601877760959,-30.18962161793479
[8, 1],5211.747434978588,-29.55586221480189
[8, 2],5240.687356020994,-23.043693881915715
[8, 3],5276.905568930351,-19.96327697650395
[8, 4],5316.279015533347,-17.078174448656682
[8, 5],5361.20289750891,-3.499071415789331
[8, 6],5389.9146971229575,-2.909728686368908
[8, 7],5407.766056602488,-9.808069905767297
[8, 8],5423.0590726188775,-10.529370161966654
[8, 9],5431.558926531598,-10.424103639209534
[8, 10],5436.80037014886,-9.515035219079437
[8, 11],5440.535250309252,-6.953788598918436
[8, 12],5440.3438261334,-5.403563900563313
[8, 13],5438.540627533227,-4.521403161474154
[8, 14],5429.160297041046,-12.81743463902967
[8, 15],5430.1630407219345,-15.18270208618651
[8, 16],5427.3133490382515,-30.17748287059112
[8, 17],5427.826402713072,-52.019741744559724
[8, 18],5496.568025626521,-8.773328952435804
[8, 19],5557.773717475839,31.35179987979336
[8, 20],5572.54502693174,31.428256521748153
[8, 21],5580.132709456064,29.105043940188807
[9, 0],5208.728632424789,-21.689543671418505
[9, 1],5229.615977568711,-16.988399432898404
[9, 2],5264.431339255123,-8.932811156837488
[9, 3],5301.1832901442285,-8.786567849301719
[9, 4],5337.239566723807,-8.10347730324429
[9, 5],5368.81060376341,-5.946581473773222
[9, 6],5395.182978881152,-9.887663457931922
[9, 7],5424.066916228872,-10.922476891538281
[9, 8],5445.889317348506,-8.541194670538971
[9, 9],5455.562622921288,-8.123143426468232
[9, 10],5453.77336792334,-13.312871136609829
[9, 11],5455.90301350518,-10.128330702350468
[9, 12],5452.396300110754,-9.073701515965695
[9, 13],5434.982169016102,-20.907633886245094
[9, 14],5425.051593359469,-26.676169105767258
[9, 15],5427.322698420296,-23.64055801646009
[9, 16],5415.712373004116,-41.52939106230133
[9, 17],5417.787326972799,-56.280052564458856
[9, 18],5454.183268485023,-42.94101467132168
[9, 19],5523.5059123768,5.353238054913163
[9, 20],5539.515688045747,5.694356330745904
[9, 21],5551.524963499331,5.574147449796328
[10, 0],5213.773080087668,-20.808650383257373
[10, 1],5234.610227431278,-15.993495976646955
[10, 2],5266.7542138159115,-9.98663694253537
[10, 3],5304.150893022603,-9.769344015967363
[10, 4],5342.975965696506,-8.954145540073114
[10, 5],5377.576829942858,-7.70237675813587
[10, 6],5411.457055473701,-9.376150181209596
[10, 7],5445.566577257225,-10.29207384356414
[10, 8],5472.996392612485,-4.312129280786394
[10, 9],5481.919245629435,-3.761416104687669
[10, 10],5474.171985904164,-12.743066018750142
[10, 11],5470.338639379478,-13.261278548849077
[10, 12],5464.495676169705,-12.749287678697328
[10, 13],5436.151271044768,-34.061697533276856
[10, 14],5429.424676395759,-35.14445937437631
[10, 15],5428.039247715641,-33.49948625627712
[10, 16],5410.0249940154345,-53.50613385096676
[10, 17],5408.043806085903,-66.55626246627344
[10, 18],5451.981148692291,-42.07157962713791
[10, 19],5490.118093847713,-25.0492280542112
[10, 20],5524.371280644768,-9.113638390858796
[10, 21],5542.56637326656,-8.090844542250125
[11, 0],5219.216480247551,-18.262990927869396
[11, 1],5239.656722015528,-13.697967576676092
[11, 2],5268.76772749756,-10.335040130438756
[11, 3],5308.822306831007,-10.057865498612955
[11, 4],5354.895941751767,-9.164137849717008
[11, 5],5398.623551781528,-6.678499264846323
[11, 6],5434.562811048425,-10.73567319047288
[11, 7],5477.507752143651,-2.69986059780058
[11, 8],5501.683408070869,1.8812742015288677
[11, 9],5509.289219293456,3.01492927219806
[11, 10],5500.859359637638,-5.174240661656768
[11, 11],5488.914593177909,-13.20574936992125
[11, 12],5483.29570602783,-12.695945260711596
[11, 13],5472.090972693928,-17.34337073655388
[11, 14],5456.117988095829,-27.993259804923582
[11, 15],5448.306915029717,-32.569760194644005
[11, 16],5399.338951649332,-81.75297336911899
[11, 17],5407.0194395221815,-81.41728522591802
[11, 18],5467.411974411143,-37.996244736108565
[11, 19],5496.045305591794,-32.3346249428223
[11, 20],5523.532230155415,-28.689507153248996
[11, 21],5553.466136409767,-23.305855067598714
[12, 0],5222.157109991542,-14.623125989871369
[12, 1],5245.530671887396,-10.616468841138158
[12, 2],5278.125772178183,-9.899481283355271
[12, 3],5327.586105474592,-9.587108671695205
[12, 4],5385.878831018176,-5.207484085673968
[12, 5],5430.597263739942,-5.326390978408199
[12, 6],5464.963862048788,-8.239448502254163
[12, 7],5495.575685285577,-7.288430465557212
[12, 8],5524.182276693355,4.025922129068931
[12, 9],5532.193083196422,5.3255203308190175
[12, 10],5534.2619911293905,6.27166330007276
[12, 11],5523.976760249565,-2.395681339755356
[12, 12],5516.047941599167,-6.994788230749691
[12, 13],5508.161611885239,-10.75493189514691
[12, 14],5502.403924233332,-12.832283173783253
